task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2a/a080d8	nf-2aa080d8c0fc614c856ae7fe71319d06-7302d	calc_indices:arvi (1)	CACHED	0	2026-07-19 19:30:09.676	4.3s	4.2s	259.9%	447.3 MB	5.8 GB	65.9 MB	7 MB
20	d5/e6ed2f	nf-d5e6ed2fb7b7bc44d95f0c01ac626ca8-24e95	explode_base_files:explode_pr (2)	CACHED	0	2026-07-19 19:29:53.069	2m 3s	457ms	800.5%	3.3 MB	10.4 MB	5.2 MB	14 KB
9	da/5dee32	nf-da5dee3274d86e6851b06d5efff8d84c-49550	calc_indices:ndvi (2)	CACHED	0	2026-07-19 19:29:52.888	16.1s	5.1s	231.1%	460.4 MB	5.9 GB	64.6 MB	6.8 MB
13	4e/61a1e6	nf-4e61a1e62f0dba46862930a0659329c0-5c393	calc_indices:ndti (2)	CACHED	0	2026-07-19 19:29:52.974	14s	4.4s	254.7%	447.8 MB	5.8 GB	64.5 MB	6.5 MB
18	70/fae28e	nf-70fae28e074034e55d1f591c760e4e0d-72726	calc_indices:nbr (2)	CACHED	0	2026-07-19 19:30:14.586	6.4s	5s	233.6%	451.1 MB	5.8 GB	64.7 MB	6.7 MB
16	23/fa44c4	nf-23fa44c4c02f07e893402c277cd95207-e8147	calc_indices:evi (2)	CACHED	0	2026-07-19 19:30:19.656	8.3s	4.5s	249.2%	446.6 MB	5.8 GB	64.8 MB	7 MB
8	d7/51b085	nf-d751b08510e5d2989f93897a153c81e4-468b2	calc_indices:sarvi (1)	CACHED	0	2026-07-19 19:29:52.827	12.2s	4.6s	245.0%	440.7 MB	5.8 GB	65.9 MB	7.2 MB
3	43/3b7da4	nf-433b7da41fa669c0820fff5dc1db871f-57791	calc_indices:evi (1)	CACHED	0	2026-07-19 19:30:14.459	14.5s	5s	228.6%	458.4 MB	5.9 GB	66.1 MB	7.3 MB
2	c9/6d1016	nf-c96d1016e6e1a0cd00737303448b90a6-87fbe	calc_indices:ndvi (1)	CACHED	0	2026-07-19 19:29:52.923	11.1s	4.5s	248.1%	446.4 MB	5.8 GB	65.9 MB	6.8 MB
5	99/ae6a2e	nf-99ae6a2ed492dbaf1d079d5155ca5841-c131c	calc_indices:ndti (1)	CACHED	0	2026-07-19 19:29:53.014	8s	4.6s	242.4%	421.5 MB	5.8 GB	65.7 MB	6.7 MB
6	8a/17777a	nf-8a17777ab845b7e0f843c11689ea99a5-70ad1	calc_indices:nbr (1)	CACHED	0	2026-07-19 19:30:09.428	15.6s	4.9s	237.2%	475.8 MB	5.9 GB	65.6 MB	6.7 MB
4	3d/7e08d9	nf-3d7e08d954d1f0978d0b198dc9cd7874-6f443	calc_indices:savi (1)	CACHED	0	2026-07-19 19:30:04.843	2m 15s	4.7s	241.1%	531.6 MB	5.9 GB	65.9 MB	6.9 MB
10	45/6be334	nf-456be3347ca2c87f3151a758b618ae16-c9dd6	calc_indices:savi (2)	CACHED	0	2026-07-19 19:30:04.461	6.5s	4.4s	256.3%	446.4 MB	5.8 GB	64.7 MB	6.9 MB
11	37/5b1f65	nf-375b1f65850539427cdad95df6e28214-71f13	calc_indices:arvi (2)	CACHED	0	2026-07-19 19:30:09.571	13.4s	4.3s	255.7%	448 MB	5.8 GB	64.7 MB	7 MB
7	17/2fa0c0	nf-172fa0c0b83e7845e8b4ae75aa778800-4caa0	explode_base_files:explode_pr (1)	CACHED	0	2026-07-19 19:29:53.117	1m 37s	389ms	914.6%	13 MB	59.7 MB	5.2 MB	14 KB
19	43/8c9e00	nf-438c9e0048d8bf1be9026bda041004bd-88efa	calc_indices:sarvi (2)	CACHED	0	2026-07-19 19:29:52.776	10.2s	4.4s	253.3%	447.4 MB	5.8 GB	64.8 MB	7.2 MB
23	8b/536164	nf-8b53616473e89f8d4eae115298cf2424-6b0c8	explode_base_files:explode_pr (3)	CACHED	0	2026-07-19 19:30:39.501	4.5s	372ms	974.3%	12.5 MB	31.3 MB	5.2 MB	14 KB
25	e0/a036f9	nf-e0a036f924b7af37bad0a1429fe36278-5aa79	explode_base_files:explode_pr (4)	CACHED	0	2026-07-19 19:30:39.572	428ms	356ms	1018.7%	3.4 MB	10.4 MB	5.2 MB	14 KB
26	c9/1266e6	nf-c91266e61cf70d9a98e0cfc152dd5647-d66d0	explode_base_files:explode_pr (5)	CACHED	0	2026-07-19 19:31:19.697	6.3s	404ms	889.7%	12.9 MB	55.6 MB	5.2 MB	14 KB
27	b6/06c5be	nf-b606c5bed55054f8e12d0e4b67a1fa87-7adf4	explode_base_files:explode_pr (6)	CACHED	0	2026-07-19 19:31:19.643	8.4s	362ms	1015.7%	13 MB	59.6 MB	5.2 MB	14 KB
